Fecha,Hora,Router,Area,Carga (Mbps),Descarga (Mbps),Calidad de conexión,Promedio (Mbps)
2023-10-02,10:00,1,Sala A,5.21,6.35,Media,5.779999999999999
2023-10-02,16:00,1,Sala C,8.26,4.98,Mala,6.62
2023-10-02,09:00,2,Sala D,4.88,5.91,Mala,5.395
2023-10-02,16:00,2,Sala B,4.9,5.07,Mala,4.985
2023-10-02,10:00,3,Recepcion,7.94,5.43,Mala,6.6850000000000005
2023-10-02,13:00,3,Sala de maestros,7.87,7.09,Media,7.48
2023-10-02,14:00,3,Sala E,7.51,5.01,Mala,6.26
2023-10-02,12:00,4,LE,9.91,5.98,Mala,7.945
2023-10-02,11:00,5,Sistematizacion,6.33,9.92,Buena,8.125
2023-10-02,15:00,5,CB,8.32,8.69,Buena,8.504999999999999
2023-10-02,10:00,6,AULA 19,5.31,5.48,Mala,5.395
2023-10-02,16:00,6,AULA 22,7.03,4.55,Mala,5.79
2023-10-02,13:00,6,AULA 23,5.24,5.9,Mala,5.57
2023-10-02,09:00,6,AULA 20,7.07,6.09,Media,6.58
2023-10-02,13:00,7,AULA 21,7.05,7.91,Media,7.48
2023-10-02,10:00,7,AULA 17,4.95,5.27,Mala,5.109999999999999
2023-10-02,10:00,7,AULA 18,8.84,9.25,Buena,9.045
2023-10-02,15:00,7,NEWTON,6.32,7.5,Media,6.91
2023-10-02,11:00,8,CI,6.61,8.3,Buena,7.455
2023-10-02,16:00,9,JEFATURA,8.77,8.3,Buena,8.535
2023-10-02,12:00,10,ASISTENTES,9.7,7.4,Media,8.55
2023-10-02,10:00,11,DIRECCION ACADEMICA,5.0,8.98,Buena,6.99
2023-10-02,13:00,12,CIIDE,4.53,6.66,Media,5.595000000000001
2023-10-02,16:00,12,PEGA,4.87,7.3,Media,6.085
2023-10-02,10:00,12,RECURSOS FINANCIEROS,5.33,8.21,Buena,6.7700000000000005
2023-10-02,10:00,13,AULA 30,6.54,8.96,Buena,7.75
2023-10-02,14:00,13,AULA 31,7.88,8.91,Buena,8.395
2023-10-02,14:00,13,AULA 32,7.64,8.38,Buena,8.01
2023-10-02,14:00,13,AULA 33,6.4,8.06,Buena,7.23
2023-10-02,15:00,13,AULA 34,6.27,6.54,Media,6.404999999999999
2023-10-02,12:00,14,AULA 35,5.0,6.24,Media,5.62
2023-10-02,12:00,14,AULA 36,6.64,8.63,Buena,7.635
2023-10-02,15:00,14,AULA 38,8.29,7.41,Media,7.85
2023-10-02,15:00,14,AULA 39,9.0,6.08,Media,7.54
2023-10-02,16:00,15,AULA 1,8.58,7.42,Media,8.0
2023-10-02,12:00,15,AULA 2,9.86,8.62,Buena,9.239999999999998
2023-10-02,11:00,15,AULA 3,9.99,4.78,Mala,7.385
2023-10-02,13:00,15,Enfermeria,7.95,7.2,Media,7.575
2023-10-02,11:00,16,AULA 4,6.97,7.16,Media,7.0649999999999995
2023-10-02,12:00,16,AULA 5,8.99,6.85,Media,7.92
2023-10-02,14:00,16,AULA 6,4.86,5.07,Mala,4.965
2023-10-02,16:00,17,AULA 7,6.2,4.59,Mala,5.395
2023-10-02,11:00,17,AULA 8,8.0,9.97,Buena,8.985
2023-10-02,10:00,17,AULA 9,9.28,6.69,Media,7.984999999999999
2023-10-02,13:00,18,AULA 10,9.74,7.77,Media,8.754999999999999
2023-10-02,15:00,18,AULA 11,9.43,7.04,Media,8.235
2023-10-02,14:00,18,INGLES,7.05,9.9,Buena,8.475
2023-10-02,13:00,19,VINCULACION,8.24,8.33,Buena,8.285
2023-10-02,10:00,20,AULA 12,5.02,7.27,Media,6.145
2023-10-02,09:00,20,AULA 13,5.73,6.17,Media,5.95
2023-10-02,11:00,21,AULA 14,4.62,7.3,Media,5.96
2023-10-02,12:00,22,AULA 15,6.41,9.02,Buena,7.715
2023-10-02,15:00,23,AULA 16,5.57,9.46,Buena,7.515000000000001
2023-10-02,16:00,24,DIRECCION GENERAL,6.98,8.88,Buena,7.930000000000001
2023-10-03,14:00,1,Sala A,9.39,7.72,Media,8.555
2023-10-03,12:00,1,Sala C,6.98,6.97,Media,6.975
2023-10-03,11:00,2,Sala D,9.87,7.69,Media,8.78
2023-10-03,12:00,2,Sala B,5.96,8.32,Buena,7.140000000000001
2023-10-03,10:00,3,Recepcion,5.35,7.85,Media,6.6
2023-10-03,12:00,3,Sala de maestros,9.08,9.01,Buena,9.045
2023-10-03,16:00,3,Sala E,8.12,5.42,Mala,6.77
2023-10-03,14:00,4,LE,8.83,7.76,Media,8.295
2023-10-03,15:00,5,Sistematizacion,9.38,6.34,Media,7.86
2023-10-03,13:00,5,CB,4.57,5.85,Mala,5.21
2023-10-03,11:00,6,AULA 19,7.68,5.84,Mala,6.76
2023-10-03,16:00,6,AULA 22,5.05,4.85,Mala,4.949999999999999
2023-10-03,09:00,6,AULA 23,6.5,9.63,Buena,8.065000000000001
2023-10-03,09:00,6,AULA 20,5.18,4.91,Mala,5.045
2023-10-03,11:00,7,AULA 21,6.68,6.46,Media,6.57
2023-10-03,12:00,7,AULA 17,5.52,7.49,Media,6.505
2023-10-03,15:00,7,AULA 18,5.24,8.05,Buena,6.6450000000000005
2023-10-03,16:00,7,NEWTON,7.95,6.32,Media,7.135
2023-10-03,12:00,8,CI,5.32,8.71,Buena,7.015000000000001
2023-10-03,12:00,9,JEFATURA,4.76,7.34,Media,6.05
2023-10-03,14:00,10,ASISTENTES,7.31,6.07,Media,6.6899999999999995
2023-10-03,14:00,11,DIRECCION ACADEMICA,8.93,6.52,Media,7.725
2023-10-03,13:00,12,CIIDE,9.49,9.39,Buena,9.440000000000001
2023-10-03,12:00,12,PEGA,4.64,8.4,Buena,6.52
2023-10-03,14:00,12,RECURSOS FINANCIEROS,9.88,7.59,Media,8.735
2023-10-03,14:00,13,AULA 30,4.79,7.26,Media,6.025
2023-10-03,16:00,13,AULA 31,6.04,9.1,Buena,7.57
2023-10-03,16:00,13,AULA 32,9.52,5.42,Mala,7.47
2023-10-03,09:00,13,AULA 33,7.33,8.59,Buena,7.96
2023-10-03,16:00,13,AULA 34,7.49,7.77,Media,7.63
2023-10-03,12:00,14,AULA 35,5.93,8.43,Buena,7.18
2023-10-03,14:00,14,AULA 36,7.31,9.13,Buena,8.22
2023-10-03,11:00,14,AULA 38,9.61,9.24,Buena,9.425
